landmark_id,x_norm,y_norm,z_norm,x_px,y_px,z_approx_px
353,0.6935185194015503,0.4164404571056366,0.12004241347312927,155,93,26
354,0.5828967690467834,0.6656789779663086,-0.11869698762893677,130,149,-26
355,0.5951011180877686,0.567857027053833,-0.009106945246458054,133,127,-2
356,0.6580865383148193,0.43428748846054077,0.35475531220436096,147,97,79
357,0.5684932470321655,0.501377284526825,-0.0026920281816273928,127,112,0
358,0.6117783784866333,0.6258975267410278,0.007714723236858845,137,140,1
359,0.6734440326690674,0.44232314825057983,0.10731121897697449,150,99,24
360,0.6144545674324036,0.6039787530899048,-0.06902717053890228,137,135,-15
361,0.6335991621017456,0.6138370633125305,0.38935577869415283,141,137,87
362,0.568232536315918,0.4605526328086853,0.03293377906084061,127,103,7
363,0.6048580408096313,0.5926147103309631,-0.10346700251102448,135,132,-23
364,0.6299184560775757,0.7749258279800415,0.21335424482822418,141,173,47
365,0.6064281463623047,0.7939658164978027,0.2670592963695526,135,177,59
366,0.6805636286735535,0.5583158731460571,0.2954089045524597,152,125,66
367,0.6437152028083801,0.7300247550010681,0.25343307852745056,144,163,56
368,0.6906721591949463,0.39423301815986633,0.22164292633533478,154,88,49
369,0.5844576358795166,0.8852617740631104,0.11060339212417603,130,198,24
370,0.5723187923431396,0.6707223057746887,-0.08350062370300293,128,150,-18
371,0.6099868416786194,0.5861431956291199,0.010607567615807056,136,131,2
372,0.6899164915084839,0.45317989587783813,0.187666654586792,154,101,42
373,0.6444137692451477,0.4653785824775696,0.06358910351991653,144,104,14
374,0.6229604482650757,0.4691402316093445,0.04981616511940956,139,105,11
375,0.6126985549926758,0.7855900526046753,0.05707361176609993,137,175,12
376,0.689477801322937,0.6187474727630615,0.20449063181877136,154,138,45
377,0.5448160171508789,0.9253231883049011,0.10881976038217545,122,207,24
